Student ID,Full Name,Course,Grade
28,Justin Conrad,COMPSCI,99
37,Simone Scott,COMPSCI,91
91,Donald Schultz,COMPSCI,87
19,Blair Heaton,COMPSCI,87
79,Kerys John,COMPSCI,87
64,Jameson Best,COMPSCI,86
73,Alys Mccormick,COMPSCI,85
97,Angus Navarro,COMPSCI,85
88,Kwame Mckenzie,COMPSCI,83
16,Allan Povey,COMPSCI,83
61,Antoine Cummings,COMPSCI,83
25,Angelina Shepard,COMPSCI,82
4,Elsie Medina,COMPSCI,81
76,Simran Hahn,COMPSCI,80
10,Darrell Newton,COMPSCI,79
43,Priyanka Nieves,COMPSCI,79
100,Simeon Rowley,COMPSCI,78
52,Eloisa Serrano,COMPSCI,76
34,Yassin Mcintyre,COMPSCI,74
22,Joy Ayers,COMPSCI,74
49,Ihsan Burt,COMPSCI,74
94,Maiya Gallegos,COMPSCI,73
70,Tegan Fox,COMPSCI,72
67,Iqra Hodson,COMPSCI,72
46,Mitchell Duran,COMPSCI,71
85,Aamina Mclaughlin,COMPSCI,69
55,Kelsey Ware,COMPSCI,69
58,Arielle Pope,COMPSCI,67
1,Sacha Rich,COMPSCI,66
82,Braxton Colley,COMPSCI,66
40,Elize Robin,COMPSCI,65
7,Liyah Preece,COMPSCI,63
31,Aryaan Coates,COMPSCI,58
13,Luther Thornton,COMPSCI,53
